Product,Description,MedDRA Preferred Terms
100 best bentonite clay 100 pounds, Cosmetics,"RASH ERYTHEMATOUS, PRURITUS, HYPERSENSITIVITY"
100 daily hydration milk mask w coconut milk  acacia senegal, Cosmetics,"Skin discolouration, Pruritus, Pain, Feeling hot, Erythema, Burning sensation"
100 pure bentonite fine powder, Cosmetics,"NAUSEA, MYALGIA, DIZZINESS"
100 pure best bentonite clay, Cosmetics,"SKIN IRRITATION, RASH, PRURITUS, ERYTHEMA, DRY SKIN"
100 pure best benzonite clay, Cosmetics,"SWELLING FACE, LYMPHADENOPATHY"
100 virgin coconut oil hydration milk mask, Cosmetics,"Erythema, Burning sensation"
24k antiaging eye serum, Cosmetics,"SWELLING FACE, PAIN, BURNS SECOND DEGREE"
24k dark circle eye solution, Cosmetics,"SWELLING FACE, PAIN, BURNS SECOND DEGREE"
24k dmae deep wrinkle, Cosmetics,HYPERSENSITIVITY
24k moisturizing day cream, Cosmetics,HYPERSENSITIVITY
3 in 1 body wash shampoo conditioner, Cosmetics,"Skin ulcer, Skin haemorrhage, Skin exfoliation, Erythema, Dandruff, Chemical injury"
3d beauty eyelash extension adhesive, Cosmetics,"SWELLING, OCULAR HYPERAEMIA, HYPERSENSITIVITY"
3d lashes mascara by younique, Cosmetics,"VISION BLURRED, PRURITUS, EYE SWELLING, ERYTHEMA"
3lab perfect cleansing foam, Cosmetics,"PAIN, CORNEAL EROSION"
7 day scrub cream rinseoff, Cosmetics,"ULCER, INFECTION, CORNEAL ABRASION"
711 simply me beauty brow powder and wax, Cosmetics,"Eyelid oedema, Erythema of eyelid"
911 emergency hair treatment leavein conditioner, Cosmetics,"HYPERTENSION, DYSPNOEA, COUGH"
911 emergency hair treatment styling spritz, Cosmetics,"HYPERTENSION, DYSPNOEA, COUGH"
a midsummer nights cream, Cosmetics,"Skin disorder, Rash, Pruritus, Inflammation, Hypersensitivity, Erythema, Dyshidrotic eczema, Dermatitis contact"
a natural difference phytopumpkin enzyme peel 35, Cosmetics,"URTICARIA, HAEMORRHAGE, CAUSTIC INJURY"
