Product,Description,MedDRA Preferred Terms
 2 tuna, Fishery/Seafood Prod,"VOMITING, RASH ERYTHEMATOUS, NAUSEA, FOOD POISONING, DYSPNOEA, CHEST DISCOMFORT"
1 milk, Milk/Butter/Dried Milk Prod,DIARRHOEA
100 extra virgin olive oil, Vegetable Oils,Gastrointestinal disorder
100 pure louana coconut oil, Vegetable Oils,"MALAISE, DIARRHOEA, MALAISE, DIARRHOEA, Rash, Pruritus, Hypersensitivity, Eye swelling, Erythema"
15 oz hatch green chile, Vegetables/Vegetable Products,"METABOLIC DISORDER, LYMPHOCYTE COUNT INCREASED, CONVULSION, ABDOMINAL DISCOMFORT"
18 rabbits chocolate cherry nut free granola bar, Cereal Prep/Breakfast Food,"OROPHARYNGEAL PAIN, NAUSEA, GLOSSODYNIA, FOOD ALLERGY"
2  milk, Milk/Butter/Dried Milk Prod,"VOMITING, VISION BLURRED, URINARY INCONTINENCE, HEADACHE, DYSPNOEA, CHEST DISCOMFORT"
2 milk, Milk/Butter/Dried Milk Prod,"NAUSEA, DIARRHOEA, COLD SWEAT, CHILLS, BODY TEMPERATURE INCREASED, ABDOMINAL PAIN UPPER"
2 percent milk, Milk/Butter/Dried Milk Prod,"MUCOUS STOOLS, FAECES DISCOLOURED, DYSPEPSIA, VOMITING, STOMACH DISCOMFORT, MUCOUS STOOLS, FAECES DISCOLOURED, DYSPEPSIA, DEFAECATION URGENCY, DECREASED APPETITE, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN, FLATULENCE, DEFAECATION URGENCY, ABNORMAL FAECES"
2 pines fresh cream, Milk/Butter/Dried Milk Prod,"VOMITING, NAUSEA, ABDOMINAL DISCOMFORT"
21st century snack food gourmet quality choc covered almonds, Candy W/O Choc/Special/Chew Gum,"TOOTH INJURY, TOOTH EXTRACTION"
24 day challenge meal replacement shake chocolate mocha, Dietary Conventional Foods/Meal Replacements,"WHITE BLOOD CELL COUNT INCREASED, PANCREATITIS, NIGHT SWEATS, MALAISE, LIPASE INCREASED, INJURY, CHILLS, BODY TEMPERATURE INCREASED, ABDOMINAL PAIN UPPER"
2nd foods apple, Baby Food Products,"Pyrexia, Ear infection, Body temperature increased"
